"Date","Category","Author","Title","URL"
"January 2026","AI Infrastructure","Jono Vickery — Activant Capital","AI Infrastructure: Compute (1/4) Sizing the market for AI Compute","https://activantcapital.com/research/ai-infra-compute?utm_source=awesome-ai-market-maps"
"January 2026","AI Search","Massive","LLM Search Stack Q1 2026","https://www.linkedin.com/posts/jasongrad_llm-search-stack-q1-2026-it-would-be-an-activity-7415028815984357376-9Hb6?utm_source=awesome-ai-market-maps"
"January 2026","Everything Else","Alexandre Dewez — 20VC","French AI Ecosystem Market Map (Draft)","https://www.linkedin.com/posts/alexandre-dewez_insight-625-%F0%9D%97%99%F0%9D%97%BF%F0%9D%97%B2%F0%9D%97%BB%F0%9D%97%B0%F0%9D%97%B5-%F0%9D%97%94%F0%9D%97%9C-%F0%9D%97%98%F0%9D%97%B0%F0%9D%97%BC%F0%9D%98%80%F0%9D%98%86%F0%9D%98%80%F0%9D%98%81%F0%9D%97%B2%F0%9D%97%BA-activity-7416873876443525120-oQsw?utm_source=awesome-ai-market-maps"
"January 2026","Everything Else","Omar K","India Hospital AI Revenue Stack 2025","https://www.linkedin.com/posts/omarxgrowth_india-is-running-thousands-of-hospital-ai-activity-7410896465549746176-miB6?utm_source=awesome-ai-market-maps"
"December 2025","Enterprise AI","Tim Tully & Joff Redfern & Deedy Das & Derek Xiao — Menlo Ventures","2025: The State of Generative AI in the Enterprise featuring Departmental AI, Vertical AI, Modern AI Stack Market Maps","https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/?utm_source=awesome-ai-market-maps"
"December 2025","AI Data Center","CB Insights","The data center value chain market map","https://www.cbinsights.com/research/report/data-center-value-chain-market-map/?utm_source=awesome-ai-market-maps"
"December 2025","Energy AI","BGV","The State of the Energy Management Market","https://benhamouglobalventures.com/energy-management-market/?utm_source=awesome-ai-market-maps"
"December 2025","Fintech AI","Inovia Capital","The AI-Powered Finance Automation Stack","https://finance-automation.inovia.vc/?utm_source=awesome-ai-market-maps"
"December 2025","Fintech AI","Elan Arnowitz & Alessandro Luciano — Insight Partners","AI in financial services is here: How firms are adopting and where they’re stuck","https://www.insightpartners.com/ideas/ai-in-financial-services/?utm_source=awesome-ai-market-maps"
"December 2025","Legaltech AI","The LegalTech Fund","LTH GenAI Legal Tech Map: December 2025","https://www.legaltechnologyhub.com/contents/lth-genai-legal-tech-map-december-2025/?utm_source=awesome-ai-market-maps"
"December 2025","Robotics","Tuo Liu","Humanoid Robotics Companies in Europe","https://x.com/Robo_Tuo/status/1996972828575649833?utm_source=awesome-ai-market-maps"
"December 2025","Voice AI","Adam Coccari — Hubspot Ventures","Vertical Voice Agents","https://www.linkedin.com/pulse/vertical-voice-agents-adam-coccari-tsamc/?utm_source=awesome-ai-market-maps"
"December 2025","AI Everything Else","CB Insights","Our top AI market maps of 2025","https://www.cbinsights.com/research/top-ai-market-maps-2025/?utm_source=awesome-ai-market-maps"
"December 2025","AI Everything Else","Malika Aubakirova & Alex Atallah & Chris Clark & Justin Summerville & Anjney Midha — a16z & OpenRouter","State of AI An Empirical 100 Trillion Token Study with OpenRouter","https://openrouter.ai/state-of-ai?utm_source=awesome-ai-market-maps"
"December 2025","AI Everything Else","Mike Overell — New Literacies","A Year of Tracking AI Products for Kids","https://newliteracies.ai/market-map/?utm_source=awesome-ai-market-maps"
"December 2025","AI Everything Else","Planet A Ventures","Nailing Manufacturing Software GTM The Founder Guide","https://planet-a.medium.com/nailing-manufacturing-software-gtm-the-founder-guide-344666fd8e91?utm_source=awesome-ai-market-maps"
"November 2025","AI Agents","CB Insights","The AI agent market map","https://www.cbinsights.com/research/ai-agent-market-map-2025/?utm_source=awesome-ai-market-maps"
"November 2025","AI Agents","CB Insights","The agentic commerce market map","https://www.cbinsights.com/research/report/agentic-commerce-market-map/?utm_source=awesome-ai-market-maps"
"November 2025","AI Agents","Reliable Agents","State of Agentic Browser/Computer Use 🤖 Q4 2025","https://reliableagents.ai/2025-Q4?utm_source=awesome-ai-market-maps?utm_source=awesome-ai-market-maps"
"November 2025","AI Agents","Strategy of Security","AI Agent Identity Market Landscape","https://www.linkedin.com/posts/colegrolmus_two-of-the-hardest-problems-with-securing-activity-7394754918689169408-5I5Y?utm_source=awesome-ai-market-maps"
"November 2025","AI Agents","Advika Jalan & Sevi Uras & Nitish Malhotra — MMC","Agentic Enablers: Treating AI’s amnesia and other disorders","https://mmc.vc/research/agentic-enablers-treating-ais-amnesia-and-other-disorders/?utm_source=awesome-ai-market-maps"
